Removed Pin From Net: NetName=VBAT Pin=C6-2
Removed Pin From Net: NetName=3V3 Pin=J1-1
Removed Pin From Net: NetName=3V3 Pin=J4-1
Removed Pin From Net: NetName=3V3 Pin=J8-1
Removed Pin From Net: NetName=3V3 Pin=R7-1
Removed Pin From Net: NetName=VBAT Pin=U2-1
Change Component Comment : Designator=J9 Old Comment=BAT New Comment=S2B-PH-K-S
Change Component Comment : Designator=J3 Old Comment=SOLAR New Comment=B2B-PH-K-S
Change component parameters: Designator = "R8" ("R8"); Footprint = "RES 0603_1608"; UniqueID = "\BOSYEGHB" ("\BOSYEGHB")
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "0 Ohms"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "RCL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.126" W (1.60mm x 3.20mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0612"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "RCL0.0CCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "Jumper"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0 Ohms"; VariantName = "[No Variations]"
Added Component: Designator=R21(RES 0603_1608)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_12.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/yageo/RT0603FRE073K6L/1075353"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thin Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "16/10/2023 7:33:15 PM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RT0603FRE073K6L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "62601"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power (Watts)"; Value = "0.1W, 1/10W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.01"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "3.6 kOhms"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "RT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "13-RT0603FRE073K6LCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±50ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "3.6 kOhms"; VariantName = "[No Variations]"
Added Component: Designator=R22(RES 0603_1608)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.passivecomponent.com/wp-content/uploads/chipR/ASC_WR.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/walsin-technology-corporation/WR06X3302FTL/13239167"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.024" (0.60mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "16/10/2023 7:33:13 PM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Walsin Technology Corporation"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "CutTape"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "WR06X3302FTL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "62382"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power (Watts)"; Value = "0.1W, 1/10W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.01"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "33 kOhms"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "WR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "1292-WR06X3302FTLCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "33 kOhms"; VariantName = "[No Variations]"
Added Component: Designator=R23(RES 0603_1608)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.vishay.com/docs/20035/dcrcwe3.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/vishay-dale/CRCW060310K0JNEB/5070677"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.020" (0.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "3/06/2023 7:37:02 PM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "CutTape"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CRCW060310K0JNEB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "56621"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power (Watts)"; Value = "0.1W, 1/10W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.01"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10 kOhms"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "CRCW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.033" W (1.60mm x 0.85mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "541-CRCW060310K0JNEBCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±200ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10 kOhms"; VariantName = "[No Variations]"
Added Component: Designator=U4(SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR)
Added Component: Designator=U5(SOT-583-8_L2.1-W1.6-P0.50-LS1.6-BL)
Added Pin To Net: NetName=GND Pin=C11-1
Added Pin To Net: NetName=VBUS Pin=C11-2
Added Pin To Net: NetName=GND Pin=C12-1
Added Pin To Net: NetName=VBAT Pin=C12-2
Added Pin To Net: NetName=VBUS Pin=D9-1
Added Pin To Net: NetName=VBAT Pin=D10-1
Add Pin To Net: Unknown Pin: Pin J6-1
Add Pin To Net: Unknown Pin: Pin J6-2
Add Pin To Net: Unknown Pin: Pin J6-3
Add Pin To Net: Unknown Pin: Pin J6-4
Add Pin To Net: Unknown Pin: Pin J6-5
Add Pin To Net: Unknown Pin: Pin J6-6
Add Pin To Net: Unknown Pin: Pin J6-7
Add Pin To Net: Unknown Pin: Pin J6-8
Add Pin To Net: Unknown Pin: Pin J7-1
Add Pin To Net: Unknown Pin: Pin J7-2
Add Pin To Net: Unknown Pin: Pin J7-3
Add Pin To Net: Unknown Pin: Pin J7-4
Add Pin To Net: Unknown Pin: Pin J7-5
Add Pin To Net: Unknown Pin: Pin J7-6
Add Pin To Net: Unknown Pin: Pin J7-7
Add Pin To Net: Unknown Pin: Pin J7-8
Added Pin To Net: NetName=3V3 Pin=R17-1
Added Pin To Net: NetName=IO3 Pin=R18-1
Added Pin To Net: NetName=GND Pin=R18-2
Added Pin To Net: NetName=3V3 Pin=R19-2
Added Pin To Net: NetName=VBUS Pin=R21-2
Added Pin To Net: NetName=GND Pin=R22-1
Added Pin To Net: NetName=VBUS Pin=R23-2
Added Pin To Net: NetName=GND Pin=U4-2
Added Pin To Net: NetName=3V3 Pin=U4-3
Added Pin To Net: NetName=IO3 Pin=U4-4
Added Pin To Net: NetName=GND Pin=U5-1
Added Pin To Net: NetName=VBUS Pin=U5-3
Added Pin To Net: NetName=VBUS Pin=U5-5
Added Pin To Net: NetName=VBAT Pin=U5-6
Added Pin To Net: NetName=3V3_SWITCHED Pin=J1-1
Added Pin To Net: NetName=3V3_SWITCHED Pin=J4-1
Added Pin To Net: NetName=3V3_SWITCHED Pin=R7-1
Added Pin To Net: NetName=3V3_SWITCHED Pin=R17-2
Added Pin To Net: NetName=3V3_SWITCHED Pin=R20-2
Added Pin To Net: NetName=3V3_SWITCHED Pin=U4-1
Added Pin To Net: NetName=3V3_SWITCHED Pin=U4-5
Added Net: Name=3V3_SWITCHED
Added Pin To Net: NetName=NetJ8_1 Pin=J8-1
Added Pin To Net: NetName=NetJ8_1 Pin=R19-1
Added Pin To Net: NetName=NetJ8_1 Pin=R20-1
Added Net: Name=NetJ8_1
Added Pin To Net: NetName=NetR21_1 Pin=R21-1
Added Pin To Net: NetName=NetR21_1 Pin=R22-2
Added Pin To Net: NetName=NetR21_1 Pin=U5-4
Added Net: Name=NetR21_1
Added Pin To Net: NetName=ST Pin=R23-1
Added Pin To Net: NetName=ST Pin=U5-8
Added Net: Name=ST
Added Pin To Net: NetName=VOUT Pin=C6-2
Added Pin To Net: NetName=VOUT Pin=D9-2
Added Pin To Net: NetName=VOUT Pin=D10-2
Added Pin To Net: NetName=VOUT Pin=U2-1
Added Pin To Net: NetName=VOUT Pin=U5-2
Added Pin To Net: NetName=VOUT Pin=U5-7
Added Net: Name=VOUT
Added Member To Class: ClassName=ultrasonic_tank_monitor_power Member=Component C11 1 µF
Added Member To Class: ClassName=ultrasonic_tank_monitor_power Member=Component C12 1 µF
Added Member To Class: ClassName=ultrasonic_tank_monitor_power Member=Component D9 SS34-HF
Added Member To Class: ClassName=ultrasonic_tank_monitor_power Member=Component D10 SS34-HF
Add Class Member: Failed to add class member : Component J6 HDR-TH_8P-P2.54
Add Class Member: Failed to add class member : Component J7 HDR-TH_8P-P2.54
Added Member To Class: ClassName=ultrasonic_tank_monitor Member=Component R17 0 Ohms
Added Member To Class: ClassName=ultrasonic_tank_monitor Member=Component R18 10 kOhms
Added Member To Class: ClassName=ultrasonic_tank_monitor Member=Component R19 0 Ohms
Added Member To Class: ClassName=ultrasonic_tank_monitor Member=Component R20 0 Ohms
Added Member To Class: ClassName=ultrasonic_tank_monitor_power Member=Component R21 3.6 kOhms
Added Member To Class: ClassName=ultrasonic_tank_monitor_power Member=Component R22 33 kOhms
Added Member To Class: ClassName=ultrasonic_tank_monitor_power Member=Component R23 10 kOhms
Added Member To Class: ClassName=ultrasonic_tank_monitor Member=Component U4 AP22818AKBWT-7
Added Member To Class: ClassName=ultrasonic_tank_monitor_power Member=Component U5 TPS2116DRLR
